#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
91138,278.86694299,15.46661059,20.77,10.361,9.374,1.63,0.03,0.021
91159,278.97163554,16.97586994,29.23,6.483,5.882,1.54,0.01,0.009
91187,279.03810403,-10.8902429,24.08,9.386,8.591,1.28,0.022,0.018
91215,279.11391403,-4.5746998,15.55,8.569,7.941,1.1,0.013,0.011
91217,279.1159838,9.12281663,25.75,5.832,5.423,1.5,0.003,0.003
91237,279.16288632,6.67215598,31.53,5.872,5.477,0.75,0.003,0.003
91253,279.20097232,-26.28933665,20.55,8.591,7.889,1.61,0.017,0.015
91273,279.26367197,-28.51273226,16.08,7.985,6.894,0.94,0.01,0.007
91280,279.28772775,-15.02619482,14.39,7.975,7.537,1.03,0.012,0.01
91281,279.28927241,0.95108452,17.07,7.553,6.942,0.87,0.007,0.005
91283,279.29367356,24.43361195,14.86,8.207,7.583,0.8,0.007,0.006
91287,279.30303766,-25.67058294,33.17,8.325,7.483,1.01,0.035,0.016
91295,279.32543225,12.26879811,20.66,8.667,8.066,1.14,0.012,0.011
91314,279.38694927,-12.34976054,12.74,7.504,7.01,0.86,0.007,0.007
91332,279.42734957,-7.33651722,17.35,8.827,8.058,1.02,0.015,0.013
91337,279.43943981,-4.80690952,20.5,7.216,6.821,0.85,0.006,0.007
91341,279.45914852,-23.39684567,16.21,8.721,8.153,1.23,0.019,0.018
91360,279.49539281,-6.80451053,26.97,9.397,8.423,1.12,0.021,0.016
91386,279.58249229,-32.68550599,13.83,7.767,7.344,1.0,0.007,0.006
91394,279.59914723,-3.19372155,20.01,7.174,6.545,0.93,0.007,0.006
91410,279.64457224,20.62765814,16.23,10.172,9.415,1.42,0.028,0.023
91438,279.72269706,-21.05150199,77.02,6.676,5.933,0.85,0.008,0.005
91479,279.85933223,28.37524509,22.24,12.149,10.964,2.01,0.157,0.084
91530,279.98539375,-11.1070028,12.62,8.126,7.39,0.99,0.01,0.008
91569,280.09131071,13.37002668,14.49,8.635,8.158,1.05,0.012,0.011
91587,280.17512663,-2.69611788,13.82,10.939,9.959,1.63,0.048,0.033
91614,280.25693845,27.40737031,17.65,9.831,9.055,1.06,0.02,0.017
91645,280.33465893,4.55825375,25.41,7.633,7.124,0.88,0.007,0.006
91689,280.46504286,-23.83335457,15.71,6.501,6.24,1.02,0.004,0.004
91700,280.50983701,-34.46617765,30.08,8.866,8.014,1.29,0.011,0.008
91704,280.52078058,11.76124969,15.1,8.531,7.877,1.05,0.012,0.011
91726,280.56842553,-9.05255357,17.44,5.131,4.744,0.8,0.013,0.01
91751,280.65050619,-7.07363239,13.43,7.427,6.243,0.88,0.006,0.004
91766,280.69119635,5.68755507,16.92,8.121,7.653,0.93,0.01,0.01
91801,280.77305298,7.7016377,21.88,9.61,8.73,2.19,0.019,0.015
91818,280.81556633,9.04120195,19.39,8.926,8.252,1.18,0.017,0.015
91825,280.83084885,9.16271338,13.86,8.827,8.296,1.13,0.015,0.014
91864,280.92806715,-22.6702877,13.96,8.638,8.084,1.21,0.012,0.011
91880,280.96340419,-6.81801161,14.36,6.844,6.347,0.87,0.004,0.004
91958,281.16785681,23.59009138,22.52,6.801,6.352,0.69,0.003,0.003
91967,281.18519927,-25.7973963,17.98,8.651,8.067,1.89,0.013,0.013
91991,281.2441161,-29.91153694,14.49,9.996,9.365,1.48,0.031,0.029
91999,281.26603892,-5.50379029,14.57,9.202,8.496,1.14,0.017,0.015
92001,281.26913787,-23.25176407,14.39,9.21,8.528,1.16,0.017,0.016
92016,281.32767265,-21.00154643,17.62,6.895,6.393,0.95,0.005,0.005
92041,281.41397083,-26.9907794,14.14,3.049,3.152,0.88,0.003,0.003
92043,281.4155466,20.54712356,52.37,4.761,4.259,0.68,0.002,0.001
92088,281.51861708,26.66207055,12.96,6.376,4.96,0.54,0.003,0.002
92117,281.61909463,-0.96163956,12.62,6.045,5.893,1.48,0.003,0.004
92134,281.67971127,-29.50277906,16.99,9.236,8.523,1.25,0.019,0.017
92140,281.69324494,-14.46473137,18.52,7.824,7.345,1.38,0.008,0.007
92161,281.75509317,18.18122968,35.17,4.514,4.36,0.68,0.002,0.002
92200,281.86386608,-3.63916615,70.8,10.452,8.99,1.28,0.043,0.022
92234,281.96422672,-35.498271,12.68,8.752,8.297,1.21,0.012,0.012
92250,282.00603713,-10.14575215,34.92,9.595,8.579,1.77,0.022,0.016
92262,282.0493491,-14.70825716,19.45,7.438,6.917,0.93,0.007,0.006
92270,282.06827761,23.51476509,34.85,6.77,6.24,0.68,0.003,0.003
92283,282.12145481,10.74651186,57.79,9.408,8.068,0.97,0.025,0.015
92311,282.2171726,17.43997462,58.6,10.914,9.342,1.6,0.041,0.017
92388,282.41025874,13.21914865,27.53,9.484,8.674,1.24,0.02,0.016
92405,282.47052043,32.55108873,13.7,5.354,5.243,0.53,0.002,0.002
92418,282.50831977,15.31119189,18.34,8.23,7.593,0.89,0.011,0.01
92427,282.5392187,-33.59800184,13.51,8.66,8.146,1.07,0.012,0.012
92444,282.58856166,-26.92357833,57.87,11.675,9.925,1.92,0.158,0.05
92480,282.71042311,-22.16210451,13.31,6.735,6.326,0.88,0.005,0.005
92546,282.88898975,-1.55298103,14.74,9.757,8.981,1.11,0.019,0.016
92569,282.95177431,3.03136205,35.35,8.372,7.581,0.98,0.01,0.008
92573,282.96383719,16.58445361,64.13,12.37,10.298,1.81,0.252,0.059
92589,282.99807825,-9.27088876,14.96,10.247,9.476,1.36,0.034,0.028
92631,283.1140245,26.53454667,14.4,8.974,8.307,1.72,0.011,0.009
92638,283.12278607,11.21069539,24.11,11.633,10.354,2.01,0.133,0.068
92757,283.53181,15.00638438,16.38,7.763,7.3,0.95,0.007,0.009
92770,283.55728223,-1.54672557,12.95,9.013,8.483,1.01,0.013,0.013
92798,283.63328634,-22.58058853,29.05,11.382,10.241,1.8,0.128,0.08
92855,283.81631956,-26.29659428,14.54,1.888,2.044,0.88,0.005,0.005
92871,283.86398515,8.40267585,86.27,12.053,10.334,1.9,0.166,0.059
92879,283.87651415,14.38501902,19.37,7.031,6.658,0.88,0.007,0.006
92882,283.87925799,-16.37618751,31.24,6.075,5.603,0.75,0.004,0.004
92900,283.93638072,-16.3490855,19.26,7.714,7.218,0.83,0.01,0.007
92918,283.97119525,-5.74427155,29.77,8.404,7.542,1.05,0.014,0.008
92919,283.97142294,23.55733799,46.64,9.376,8.286,1.03,0.014,0.01
92929,284.00163692,-25.04587509,20.14,8.029,7.446,1.06,0.01,0.009
92946,284.05483475,4.20352956,24.73,4.816,4.631,1.61,0.003,0.002
92984,284.15489096,4.26533443,37.0,7.404,6.777,0.84,0.009,0.008
93002,284.19391894,-30.02871116,16.21,9.853,8.99,1.47,0.028,0.022
93017,284.25612303,32.90162351,66.76,5.942,5.294,0.54,0.003,0.003
93026,284.26514217,-5.84621426,15.77,6.214,4.941,0.89,0.005,0.003
93036,284.27707056,-28.11579474,13.3,9.62,8.998,1.37,0.023,0.021
93037,284.28149005,34.85573304,13.73,8.096,7.592,0.64,0.009,0.008
93101,284.50104782,5.91108971,90.02,10.995,9.396,1.46,0.061,0.025
93136,284.59380398,22.07500046,19.24,10.247,9.418,1.35,0.021,0.016
93138,284.59879391,6.24018925,17.64,6.772,6.263,0.78,0.005,0.005
93140,284.60345583,-22.52952554,12.79,6.257,6.16,0.95,0.005,0.005
93179,284.69551472,13.90677273,13.45,6.23,5.939,0.67,0.004,0.003
93185,284.71235563,30.18017204,42.68,7.519,6.866,0.64,0.006,0.004
93195,284.73564558,-0.50370115,32.89,9.397,8.448,1.09,0.016,0.012
93203,284.77387015,13.62254853,20.99,5.917,5.324,0.69,0.004,0.004
93244,284.90578844,15.06847757,21.22,5.392,4.138,0.77,0.004,0.003
93252,284.92746028,16.2528738,22.36,7.622,7.126,0.76,0.006,0.005
93310,285.08754035,9.42807256,25.02,10.962,9.808,1.48,0.059,0.034
93341,285.18118739,19.07592021,15.62,10.89,10.223,1.83,0.06,0.054
93375,285.27516483,-28.71377583,15.92,9.163,8.547,1.13,0.019,0.017
93377,285.27731567,15.68374735,25.52,8.73,7.929,0.99,0.01,0.008
93398,285.33125457,-13.69059913,28.63,11.268,9.813,1.48,0.086,0.038
93429,285.42017236,-5.73901832,21.95,5.445,4.144,0.92,0.002,0.002
93444,285.46009494,-17.35153746,13.38,8.589,8.132,1.1,0.013,0.013
93509,285.6581718,14.56701386,38.31,7.645,6.95,2.63,0.006,0.008
93528,285.73619344,23.37101051,12.94,9.889,9.081,1.3,0.019,0.015
93540,285.77478523,-11.04335177,36.39,9.644,8.548,1.15,0.022,0.016
93566,285.86111975,17.06750914,23.09,8.346,7.686,1.0,0.01,0.011
93580,285.88432906,1.81893472,18.12,6.051,5.845,0.74,0.004,0.004
93613,285.95312296,8.09765736,28.56,10.259,9.127,1.32,0.032,0.021
93623,285.98688466,-20.45873287,16.45,10.395,9.646,1.41,0.046,0.037
93645,286.0403358,17.55591189,21.18,7.484,6.979,0.83,0.007,0.006
93683,286.17055765,-21.74135451,23.49,5.078,3.879,0.78,0.003,0.002
93690,286.18797456,-7.45549975,18.35,10.642,9.518,1.65,0.035,0.021
93731,286.28071913,23.07719556,30.16,9.554,8.608,1.17,0.013,0.01
93743,286.327403,-1.51222647,22.31,6.935,6.56,0.8,0.006,0.006
93746,286.33666621,25.92078674,16.94,8.575,7.291,0.76,0.008,0.005
93747,286.3525518,13.86370983,39.18,3.024,2.991,0.72,0.002,0.003
93767,286.43663916,-26.64197281,13.07,9.457,8.769,1.35,0.018,0.016
93772,286.44874842,6.54699563,16.34,7.329,6.79,1.04,0.007,0.006
93797,286.52893192,5.28000141,33.4,10.854,9.676,1.56,0.055,0.032
93798,286.5390485,30.43854472,13.26,8.903,8.206,1.34,0.011,0.009
93805,286.56229139,-4.88233456,26.05,3.33,3.419,0.81,0.002,0.002
93817,286.58902899,27.71377132,19.8,10.14,9.022,1.62,0.022,0.014
93827,286.60595985,-11.89639381,25.78,7.933,7.31,0.82,0.009,0.008
93843,286.65701713,28.6283896,24.5,5.869,5.557,0.58,0.003,0.002
93859,286.72083592,22.17263654,12.61,7.668,7.253,0.96,0.005,0.005
93871,286.75929861,7.61772281,41.19,10.584,9.343,1.34,0.037,0.022
93917,286.85623123,32.50166027,24.64,5.639,5.263,0.54,0.003,0.003
93926,286.88463423,30.25424179,35.7,8.754,7.883,0.78,0.009,0.007
93933,286.90424891,27.9464278,14.79,9.489,8.839,1.05,0.013,0.012
93966,286.98867463,16.85412507,47.72,6.953,6.157,0.77,0.006,0.004
93975,287.01456055,21.69874452,22.83,6.71,6.264,0.69,0.004,0.004
93995,287.06869188,25.37493078,17.03,8.091,7.533,0.73,0.006,0.006
94034,287.16759836,16.85155902,13.8,7.203,6.712,0.78,0.007,0.006
94056,287.22497194,34.06211485,34.37,11.131,9.605,1.3,0.058,0.024
94061,287.23701857,-17.53545002,22.32,9.132,8.268,1.1,0.017,0.014
94068,287.24965607,6.07339716,22.96,5.644,5.264,0.79,0.004,0.003
94076,287.26812682,34.59997848,20.42,7.485,6.771,1.57,0.007,0.005
94129,287.41420044,-21.46874911,17.91,8.946,8.256,0.97,0.016,0.014
94252,287.78361463,38.78035706,20.52,8.394,7.524,1.25,0.014,0.011
94256,287.79127953,-2.63816763,15.7,8.859,8.033,0.94,0.013,0.011
94290,287.87900681,26.73594891,23.2,6.845,6.388,0.61,0.003,0.003
94297,287.89765741,-9.54981883,17.97,10.996,9.948,1.56,0.051,0.032
94370,288.114244,-5.41441446,19.04,8.714,8.128,1.07,0.011,0.01
94371,288.11440211,16.85059796,21.72,8.866,8.023,1.04,0.014,0.011
94387,288.17668696,24.57678206,13.4,8.784,8.217,1.26,0.009,0.008
94394,288.18401956,-19.23524595,13.96,8.78,8.221,0.98,0.01,0.01
94396,288.18738957,18.81234974,17.22,11.242,10.243,1.85,0.048,0.033
94423,288.27896725,4.93567948,16.09,8.255,7.715,0.96,0.01,0.009
94497,288.49510594,39.84371444,19.24,11.126,10.028,1.22,0.065,0.038
94516,288.55060421,-9.97087607,15.98,9.996,9.119,1.3,0.026,0.02
94520,288.56520563,19.06407953,13.06,8.187,7.613,1.59,0.01,0.009
94521,288.56664106,-8.71902793,14.54,7.792,6.656,1.13,0.006,0.004
94540,288.62151846,34.56416093,14.8,7.774,7.303,0.67,0.007,0.007
94572,288.70316888,8.09639362,16.0,8.331,7.763,0.98,0.012,0.011
94622,288.8278716,24.89653555,35.21,11.56,9.917,1.64,0.064,0.023
94628,288.843125,26.37344494,15.57,9.935,9.251,1.34,0.019,0.016
94629,288.84393842,38.71136411,13.56,8.111,7.713,0.63,0.007,0.007
94650,288.89560006,11.55513788,39.43,9.223,8.165,1.01,0.018,0.013
94666,288.95318392,38.37970911,15.5,8.407,7.817,0.68,0.011,0.011
94718,289.10300929,14.09782269,13.14,8.796,8.158,1.16,0.012,0.011
94751,289.20243822,18.97645669,17.08,7.711,7.1,0.81,0.006,0.006
94757,289.21717717,-10.97179907,34.73,7.603,6.991,0.85,0.006,0.005
94761,289.23164974,5.17214064,170.26,10.935,9.279,1.37,0.055,0.024
94795,289.31808225,28.78270632,13.07,8.109,7.628,0.76,0.008,0.007
