#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
29133,92.17934057,-2.49987463,15.51,9.481,8.779,1.11,0.019,0.017
29150,92.24111381,-22.42728352,12.77,5.478,5.482,0.7,0.002,0.003
29185,92.34764312,-49.56301376,16.63,7.068,6.543,0.52,0.005,0.004
29189,92.36270555,17.83450766,12.89,9.053,8.475,1.34,0.015,0.014
29193,92.36550276,-51.38954087,13.83,8.317,7.573,0.64,0.011,0.009
29205,92.39389063,-14.58469045,15.35,7.038,5.685,0.7,0.004,0.002
29208,92.39948938,5.66878655,33.42,9.537,8.496,1.21,0.023,0.016
29210,92.40089482,-5.71143334,16.39,6.572,6.2,0.87,0.006,0.006
29217,92.41481951,-41.98045851,14.36,7.824,7.331,0.59,0.006,0.007
29221,92.42459484,19.09329016,16.08,11.068,10.025,1.85,0.06,0.04
