#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
3773,12.12318298,-18.66336118,14.86,10.352,9.616,1.38,0.031,0.027
3777,12.13826887,0.38211049,12.85,8.95,8.238,1,0.014,0.012
3781,12.14632729,-74.92335356,15.94,6.871,5.241,0.48,0.004,0.003
3788,12.17172583,-28.4952978,15.91,7.183,6.823,0.98,0.006,0.005
3795,12.18675807,18.68565151,16.28,8.313,7.649,1.21,0.016,0.013
3810,12.2446238,16.9411337,41.8,5.684,5.124,0.75,0.004,0.004
3813,12.25615885,-50.14439383,46.32,12.276,11.046,2.06,0.146,0.079
3821,12.27125262,57.8165477,167.99,4.158,3.52,0.62,0.003,0.003
3832,12.29936838,-53.7740789,19.48,8.138,7.628,0.76,0.007,0.006
3834,12.3079102,-24.13652681,17.7,7.113,6.001,0.99,0.006,0.004
3855,12.32088326,20.06304103,19.47,11.589,10.94,1.99,0.111,0.106
3850,12.36015525,-23.21277388,53.09,8.109,7.247,1.02,0.01,0.008
3857,12.38642207,44.05939726,14.85,8.466,7.845,1.32,0.011,0.01
3859,12.39023026,38.20496538,18.65,8.68,8.093,1.04,0.013,0.011
3860,12.39207268,67.95272431,16.59,11.482,10.4,1.54,0.078,0.045
3864,12.39615242,-54.16416149,13.04,8.705,8.202,1.11,0.01,0.009
3870,12.42242062,-18.68197027,14.23,10.668,9.823,1.53,0.04,0.03
3876,12.44099553,70.44899713,46.47,8.921,7.843,0.7,0.011,0.008
3879,12.45094373,-54.59336435,35.95,11,9.636,1.22,0.04,0.021
3890,12.48023049,26.9229546,19.5,9.978,9.145,1.08,0.023,0.018
3909,12.53218487,-10.64377045,64.69,5.78,5.228,1.03,0.004,0.004
3911,12.53815505,-83.7439717,16.94,8.563,8.012,0.61,0.01,0.009
3913,12.56074991,-31.33255899,14.41,11.734,10.468,1.77,0.108,0.053
3924,12.60079553,-64.06781229,18.41,8.648,8.044,0.79,0.009,0.008
3930,12.61379631,59.50273074,21.34,11.344,10.284,1.66,0.06,0.035
3949,12.67136689,-50.98692422,13.06,5.67,5.273,0.59,0.003,0.003
3961,12.71847773,-71.15152645,25.74,7.391,6.903,0.62,0.005,0.006
3965,12.73860936,51.50803371,15,6.728,6.405,0.72,0.003,0.003
3979,12.79456039,-5.03898875,45.27,7.805,7.056,0.97,0.014,0.01
3998,12.84050486,18.7399011,45.71,10.831,9.355,1.66,0.062,0.028
3999,12.84198032,-38.52874769,19.09,7.852,7.204,0.92,0.007,0.007
4003,12.85054069,-78.64368714,16.93,11.112,9.992,1.06,0.048,0.029
4005,12.85403677,32.65728762,18.78,7.937,7.34,0.88,0.01,0.009
